application_id,application_date,branch_id,state,applicant_age,annual_income,employment_type,employment_years,credit_score,existing_debt_balance,num_credit_lines,num_prev_loans,prev_defaults,loan_amount,loan_purpose,loan_term_months,interest_rate,monthly_payment,debt_to_income,risk_grade,loan_default
APP-000001,31/08/2020,BR-015,WI,43,66028.34,Self-Employed,16.5,591,1517.18,15,1,1,20344.09,Personal,24,5.75,899.37,0.1635,E,1
APP-000002,09/02/2022,BR-015,MI,28,29553.04,Self-Employed,6.5,782,50109.8,6,0,0,91753.9,Education,24,5.09,4029.07,1.636,A,0
APP-000003,21/05/2022,BR-019,MA,35,65230.92,Part-Time,6.2,538,125598.91,9,2,0,126641.8,Education,48,7.73,3075.67,0.5658,E,1
APP-000004,06/09/2020,BR-013,MD,72,35981.1,Unemployed,2.9,,31164.44,5,7,1,125728.58,Education,84,6.46,1864.56,0.6218,D,1
APP-000005,06/12/2022,BR-018,MA,67,21558.62,Salaried,4.6,751,18904.8,12,1,0,69057.69,Personal,84,5.65,997.29,0.5551,B,1
APP-000006,08/09/2022,BR-015,IL,61,99119.81,Salaried,4.1,794,120952.68,4,1,0,58970.3,Home Improvement,12,4.46,5033.72,0.6094,A,0
APP-000007,01/01/2022,BR-018,IL,47,76119.92,Part-Time,9.7,721,44253.1,7,8,0,138047.07,Personal,24,4.55,6028.53,0.9504,B,0
APP-000008,10/03/2022,BR-017,CA,42,28332.09,Salaried,1.4,716,28194.38,8,1,0,38215.23,Home Purchase,48,4.95,879.2,0.3724,C,1
APP-000009,28/07/2022,BR-021,TX,29,,Salaried,2.6,575,39181.53,15,3,1,90357.6,Auto Loan,60,5.85,1740.57,0.758,E,0
APP-000010,24/11/2020,BR-006,MI,27,34233.56,Part-Time,4.1,651,19695.95,3,6,0,29407.44,Home Improvement,36,5.92,893.57,0.3132,D,0
APP-000011,14/03/2021,BR-012,CA,63,148486.6,Salaried,17.6,704,32576.03,12,3,0,211659.56,Auto Loan,24,5.83,9364.68,0.7568,C,0
APP-000012,12/02/2023,BR-024,WA,37,27578.4,Salaried,,779,16052.62,6,1,0,65278.68,Home Purchase,24,3.92,2832.4,1.2324,B,1
APP-000013,28/04/2022,BR-025,NJ,53,37721.17,Salaried,6.2,708,23844.59,4,6,0,84616.74,Medical,48,5.73,1976.77,0.6289,C,0
APP-000014,27/10/2023,BR-010,CA,67,18546.37,Salaried,5.9,743,11014.39,7,1,0,25181.4,Home Improvement,84,5.52,362.1,0.2343,B,0
APP-000015,18/08/2020,BR-014,CA,46,21711.14,Self-Employed,8.5,702,28771.3,13,6,0,15287.96,Education,60,5.31,290.68,0.1607,C,0
APP-000016,06/06/2021,BR-018,PA,51,8382.22,Salaried,3.3,693,5711.86,9,4,0,-19955.4,Debt Consolidation,12,6.49,1721.99,2.4652,C,0
APP-000017,29/04/2020,BR-027,MD,52,102492.99,Unemployed,5.2,805,112495.39,8,7,0,143469.84,Business,36,3.85,4226.23,0.4948,A,1
APP-000018,11/01/2020,BR-010,NY,45,156705.55,Contract ,4,828,313038.55,1,1,0,321170.92,Auto Loan,36,3.75,9446.57,0.7234,A,0
APP-000019,08/01/2023,BR-024,IL,61,63667.3,Salaried,5.3,779,20655.03,5,3,0,87068.33,Debt Consolidation,48,4.23,1974.89,0.3722,B,1
APP-000020,20/01/2020,BR-001,MO,55,103070.31,Contract,1.2,750,106160.81,15,1,0,134707.84,Auto Loan,24,4.29,5867.08,0.6831,B,1
APP-000021,11/11/2020,BR-009,AZ,70,31212.48,Salaried,4.5,627,34682.87,4,7,0,39477.07,Debt Consolidation,60,5.47,753.51,0.2897,D,0
APP-000022,28/06/2020,BR-018,MO,43,28130.98,Salaried,0,732,22677.47,3,7,0,37487.9,Home Improvement,36,5.98,1140.11,0.4863,B,0
APP-000023,19/04/2022,BR-009,MA,39,33348.81,Self-Employed,1.3,735,17583.02,9,7,0,99181.61,Auto Loan,36,4.79,2963.22,1.0663,B,0
APP-000024,22/03/2023,BR-017,MD,70,69406.2,Self-Employed,7.7,596,24010.31,5,6,2,115089.1,Personal,24,6.84,5144.49,0.8895,E,1
APP-000025,01/09/2022,BR-025,CA,50,79135.73,Part-Time,2.3,738,12501.54,12,5,0,223984.45,Medical,24,5.15,9841.56,1.4924,B,0
APP-000026,26/02/2021,BR-001,FL,52,35745.23,Self-Employed,4.8,639,70661.1,15,8,0,118134.17,Auto Loan,36,5.2,3551.2,1.1922,D,0
APP-000027,31/10/2021,BR-007,TN,70,53656.57,Contract,5.5,692,62428.69,14,3,0,63080.35,Education,36,6.26,1926.47,0.4308,C,0
APP-000028,03/09/2021,BR-003,PA,48,64668.43,Self-Employed,5.8,796,67325.3,7,8,0,-198092.24,Medical,60,3.89,3638.35,0.6751,A,1
APP-000029,06/11/2022,BR-021,WA,63,135605.07,Salaried,4.7,707,191153.74,3,8,0,271840.6,Medical,48,5.88,6369.24,0.5636,C,1
APP-000030,11/03/2020,BR-015,IL,55,76908.94,Unemployed,,666,63667.87,10,2,0,68989.67,Medical,24,4.95,3025.13,0.472,C,1
APP-000031,07/07/2020,BR-001,IN,31,33460.66,Self-Employed,8.1,542,50643.19,3,4,1,20173.41,Home Purchase,12,7.25,1747.87,0.6268,E,0
APP-000032,08/05/2021,BR-015,MA,26,39256.5,Unemployed,18.2,715,73419.25,9,7,0,100344.94,Home Improvement,36,6.29,3065.89,0.9372,C,1
APP-000033,25/12/2021,BR-001,MA,29,36691.31,Self-Employed,0.4,653,21069.37,6,4,0,125013.9,Business,60,6.27,2432.6,0.7956,D,0
APP-000034,08/08/2020,BR-011,MD,23,122350.63,Self-Employed,0.9,709,202111.66,9,8,0,415438.94,Home Purchase,36,4.57,12371.03,1.2133,C,0
APP-000035,23/05/2020,BR-001,IL,30,68383.27,Salaried,5.6,588,102428.66,2,0,0,106259.45,Medical,12,5.96,9143.42,1.6045,E,0
APP-000036,20/09/2021,BR-028,MO,45,79641.06,Salaried,5.6,741,30041.12,2,7,0,-130641.2,Business,36,5.07,3919.54,0.5906,B,0
APP-000037,10/03/2020,BR-001,WI,72,13499.23,Salaried,5,533,9948.58,4,1,1,30063.99,Home Improvement,36,7.21,931.18,0.8278,E,0
APP-000038,01/05/2022,BR-003,WA,53,36746.52,Contract,6.8,,8502.36,8,8,0,30735.47,Education,36,6.6,943.41,0.3081,C,0
APP-000039,15/07/2023,BR-030,IN,50,66090.25,Salaried,2,850,84025.97,10,8,0,34908.62,Home Purchase,36,4.4,1036.86,0.1883,A,0
APP-000040,28/06/2020,BR-008,PA,57,48132.4,Self-Employed,7.3,680,94683.13,11,4,0,100565.76,Auto Loan,24,5.71,4444.01,1.1079,C,1
APP-000041,24/11/2022,BR-016,PA,62,50065.48,Self-Employed,0,708,63009.26,11,7,0,33503.05,Medical,60,4.42,623.38,0.1494,C,0
APP-000042,31/05/2021,BR-024,MI,63,38334.61,Self-Employed,10.9,686,54775.46,10,2,0,12786.66,Auto Loan,60,4.7,239.55,0.075,C,0
APP-000043,06/09/2022,BR-015,CA,38,63244.22,Salaried,8,713,56170.84,2,0,0,78774.91,Education,60,4.67,1474.7,0.2798,C,0
APP-000044,17/06/2022,BR-010,IN,41,82185.2,Contract,0,696,35064.5,12,3,0,239802.62,Home Improvement,36,4.74,7159.14,1.0453,C,0
APP-000045,05/12/2020,BR-018,CO,40,31972.55,Salaried,3.4,699,22229.51,15,4,0,102897.9,Business,36,5.59,3111.27,1.1677,C,0
APP-000046,13/12/2020,BR-017,CO,43,81083.93,Self-Employed,1,752,143003.14,9,8,0,170087.04,Home Purchase,36,5.65,5147.45,0.7618,B,1
APP-000047,08/03/2022,BR-018,GA,33,56362.34,Part-Time,6.4,666,12060.47,4,0,0,85068.56,Medical,60,6.57,1667.25,0.355,C,0
APP-000048,04/02/2022,BR-029,MO,33,33509.35,Salaried,6.9,715,6481.58,2,0,0,20611.2,Medical,84,4.82,289.58,0.1037,C,0
APP-000049,09/02/2023,BR-028,TN,43,38971.96,Salaried,3.3,729,7105.74,11,2,0,126194.69,Personal,12,5.31,10821.15,3.332,B,0
APP-000050,20/07/2020,BR-004,MA,61,50372.79,Self-Employed,6.4,766,26005.14,13,4,0,168436.85,Business,36,3.86,4962.44,1.1822,B,1
APP-000051,18/06/2020,BR-024,GA,67,16312.96,Part-Time,3.6,575,8213.38,8,8,2,32234.5,Education,60,6.81,635.4,0.4674,E,1
APP-000052,24/04/2023,BR-030,CA,48,76351.53,Salaried,8,605,51375.36,11,1,1,169712.92,Business,24,6.13,7531.73,1.1837,D,1
APP-000053,24/10/2023,BR-026,NC,66,48176.9,Salaried,7.7,607,28324.28,9,0,0,15997.87,Medical,48,6.26,377.62,0.0941,D,1
APP-000054,11/06/2021,BR-022,FL,58,33401.36,Self-Employed,6.5,739,7220.95,7,2,0,67370.19,Personal,60,5.38,1283.12,0.461,B,1
APP-000055,05/03/2022,BR-030,MA,25,178528.89,Contract,7.6,769,148055.2,3,0,0,371623.34,Education,36,5.48,11218.15,0.754,B,0
APP-000056,17/07/2022,BR-025,MI,33,51175.25,Salaried,5.5,765,53617.69,3,7,0,145748.51,Home Purchase,12,4.71,12457.8,2.9212,B,0
APP-000057,13/08/2022,BR-010,NY,45,22955.82,Salaried,9.3,619,25629.46,13,3,1,48189.72,Education,60,6.96,953.31,0.4983,D,1
APP-000058,29/05/2021,BR-030,NY,30,16076.56,  Part-Time,3.8,598,31801.84,6,8,0,35445.21,Personal,84,6.77,530.99,0.3963,E,1
APP-000059,03/07/2021,BR-016,NY,33,39555.66,  Unemployed,9.2,508,23028.36,7,0,0,47808.34,Home Improvement,36,6.68,1469.2,0.4457,E,0
APP-000060,26/02/2020,BR-012,TX,72,148281.6,Salaried,3.7,627,185457.6,6,6,0,317706.05,Business,84,6.21,4673.28,0.3782,D,0
APP-000061,04/04/2022,BR-030,TN,38,169208.6,Contract,4.7,539,40707.91,15,7,1,79087.23,Home Improvement,84,7.31,1205.66,0.0855,E,0
APP-000062,13/03/2021,BR-023,OH,70,56388.4,Salaried,8.2,554,62726.32,4,6,1,71329.83,Auto Loan,60,6.58,1398.32,0.2976,E,0
APP-000063,14/12/2023,BR-003,MD,67,29641.95,Contract,5.6,743,42790.55,4,3,0,79054.76,Medical,24,4.44,3448.45,1.396,B,0
APP-000064,17/08/2021,BR-017,MO,60,48518.28,Salaried,0.5,638,68479.02,9,4,0,130182.85,Home Improvement,48,5.96,3054.96,0.7556,D,1
