application_id,application_date,branch_id,state,applicant_age,annual_income,employment_type,employment_years,credit_score,existing_debt_balance,num_credit_lines,num_prev_loans,prev_defaults,loan_amount,loan_purpose,loan_term_months,interest_rate,monthly_payment,debt_to_income,risk_grade,loan_default
APP-000001,2020-08-31,BR-015,WI,43,66028.34,Self-Employed,16.5,591.0,1517.18,15,1,1,20344.09,Personal,24,5.75,899.37,0.1635,E,1
APP-000002,2022-02-09,BR-015,MI,28,29553.04,Self-Employed,6.5,782.0,50109.8,6,0,0,91753.9,Education,24,5.09,4029.07,1.636,A,0
APP-000003,2022-05-21,BR-019,MA,35,65230.92,Part-Time,6.2,538.0,125598.91,9,2,0,126641.8,Education,48,7.73,3075.67,0.5658,E,1
APP-000005,2022-12-06,BR-018,MA,67,21558.62,Salaried,4.6,751.0,18904.8,12,1,0,69057.69,Personal,84,5.65,997.29,0.5551,B,1
APP-000006,2022-09-08,BR-015,IL,61,99119.81,Salaried,4.1,794.0,120952.68,4,1,0,58970.3,Home Improvement,12,4.46,5033.72,0.6094,A,0
APP-000007,2022-01-01,BR-018,IL,47,76119.92,Part-Time,9.7,721.0,44253.1,7,8,0,138047.07,Personal,24,4.55,6028.53,0.9504,B,0
APP-000008,2022-03-10,BR-017,CA,42,28332.09,Salaried,1.4,716.0,28194.38,8,1,0,38215.23,Home Purchase,48,4.95,879.2,0.3724,C,1
APP-000010,2020-11-24,BR-006,MI,27,34233.56,Part-Time,4.1,651.0,19695.95,3,6,0,29407.44,Home Improvement,36,5.92,893.57,0.3132,D,0
APP-000011,2021-03-14,BR-012,CA,63,148486.6,Salaried,17.6,704.0,32576.03,12,3,0,211659.56,Auto Loan,24,5.83,9364.68,0.7568,C,0
APP-000012,2023-02-12,BR-024,WA,37,27578.4,Salaried,6.4,779.0,16052.62,6,1,0,65278.68,Home Purchase,24,3.92,2832.4,1.2324,B,1
APP-000013,2022-04-28,BR-025,NJ,53,37721.17,Salaried,6.2,708.0,23844.59,4,6,0,84616.74,Medical,48,5.73,1976.77,0.6289,C,0
APP-000014,2023-10-27,BR-010,CA,67,18546.37,Salaried,5.9,743.0,11014.39,7,1,0,25181.4,Home Improvement,84,5.52,362.1,0.2343,B,0
APP-000015,2020-08-18,BR-014,CA,46,21711.14,Self-Employed,8.5,702.0,28771.3,13,6,0,15287.96,Education,60,5.31,290.68,0.1607,C,0
APP-000017,2020-04-29,BR-027,MD,52,102492.99,Unemployed,5.2,805.0,112495.39,8,7,0,143469.84,Business,36,3.85,4226.23,0.4948,A,1
APP-000018,2020-01-11,BR-010,NY,45,156705.55,Contract,4.0,828.0,313038.55,1,1,0,321170.92,Auto Loan,36,3.75,9446.57,0.7234,A,0
APP-000019,2023-01-08,BR-024,IL,61,63667.3,Salaried,5.3,779.0,20655.03,5,3,0,87068.33,Debt Consolidation,48,4.23,1974.89,0.3722,B,1
APP-000020,2020-01-20,BR-001,MO,55,103070.31,Contract,1.2,750.0,106160.81,15,1,0,134707.84,Auto Loan,24,4.29,5867.08,0.6831,B,1
APP-000021,2020-11-11,BR-009,AZ,70,31212.48,Salaried,4.5,627.0,34682.87,4,7,0,39477.07,Debt Consolidation,60,5.47,753.51,0.2897,D,0
APP-000022,2020-06-28,BR-018,MO,43,28130.98,Salaried,0.0,732.0,22677.47,3,7,0,37487.9,Home Improvement,36,5.98,1140.11,0.4863,B,0
APP-000023,2022-04-19,BR-009,MA,39,33348.81,Self-Employed,1.3,735.0,17583.02,9,7,0,99181.61,Auto Loan,36,4.79,2963.22,1.0663,B,0
APP-000024,2023-03-22,BR-017,MD,70,69406.2,Self-Employed,7.7,596.0,24010.31,5,6,2,115089.1,Personal,24,6.84,5144.49,0.8895,E,1
APP-000025,2022-09-01,BR-025,CA,50,79135.73,Part-Time,2.3,738.0,12501.54,12,5,0,223984.45,Medical,24,5.15,9841.56,1.4924,B,0
APP-000026,2021-02-26,BR-001,FL,52,35745.23,Self-Employed,4.8,639.0,70661.1,15,8,0,118134.17,Auto Loan,36,5.2,3551.2,1.1922,D,0
APP-000027,2021-10-31,BR-007,TN,70,53656.57,Contract,5.5,692.0,62428.69,14,3,0,63080.35,Education,36,6.26,1926.47,0.4308,C,0
